"","Year","Zip.Code","Count","MedNormSourceEUI","MedSiteEUI","MedSourceEUI","MedNormSiteEUI"
"1","2011","20001",22,222.65,68.25,NA,NA
"2","2011","20002",12,226.7,77.15,NA,NA
"3","2011","20003",5,216.6,65.6,NA,NA
"4","2011","20004",23,224.4,70.6,NA,NA
"5","2011","20005",38,210.2,64.9,NA,NA
"6","2011","20006",20,218.3,71.7,NA,NA
"7","2011","20007",8,275.35,92.85,NA,NA
"8","2011","20008",4,228.9,100.85,NA,NA
"9","2011","20009",2,245.5,113.35,NA,NA
"10","2011","20016",2,427.55,131.6,NA,NA
"11","2011","20024",15,244.45,76.6,NA,NA
"12","2011","20036",19,220.9,72.8,NA,NA
"13","2011","20037",14,220.05,72.95,NA,NA
"14","2011","20052",4,216.35,80.55,NA,NA
"15","2011","20059",2,130.4,40.85,NA,NA
"16","2012","20001",37,195.3,63.9,NA,NA
"17","2012","20002",17,205.7,73.5,NA,NA
"18","2012","20003",8,186.5,57.65,NA,NA
"19","2012","20004",27,220.15,NA,NA,NA
"20","2012","20005",53,198.35,61.8,NA,NA
"21","2012","20006",36,203.75,63.8,NA,NA
"22","2012","20007",22,185.8,70.85,NA,NA
"23","2012","20008",26,123.7,60.35,NA,NA
"24","2012","20009",10,106.55,60.1,NA,NA
"25","2012","20010",5,110.6,59.4,NA,NA
"26","2012","20015",4,166.75,73.1,NA,NA
"27","2012","20016",15,118.45,NA,NA,NA
"28","2012","20017",7,156.2,72.4,NA,NA
"29","2012","20024",26,224.3,74.55,NA,NA
"30","2012","20036",41,202.8,66.9,NA,NA
"31","2012","20037",26,194.8,73.6,NA,NA
"32","2012","20052",14,205.25,82,NA,NA
"33","2012","20057",3,459.5,208.6,NA,NA
"34","2012","20059",2,117.25,37.6,NA,NA
"35","2013","20001",47,186.2,72.1,185.9,72.1
"36","2013","20002",26,191.95,75.95,191.55,76.2
"37","2013","20003",9,206,91.8,206,92.9
"38","2013","20004",31,198.2,63.1,198.2,63.1
"39","2013","20005",80,189,64.7,188.75,64.75
"40","2013","20006",48,190.7,64.15,190.7,64.15
"41","2013","20007",26,179.35,76.3,179.1,76.35
"42","2013","20008",7,95.5,58.1,95.4,58.5
"43","2013","20009",12,137.45,72.7,137,73.25
"44","2013","20010",2,305.95,158.05,305.05,158.9
"45","2013","20011",2,133.95,55.3,133.75,55.45
"46","2013","20012",2,174.15,64,174.35,63.95
"47","2013","20015",5,150.8,75.3,150.5,76
"48","2013","20016",12,189,76.35,189,76.7
"49","2013","20017",9,175.6,101.5,175.3,102.7
"50","2013","20018",7,161.2,83,160.4,83.4
"51","2013","20019",9,143,80.9,143,81.9
"52","2013","20020",4,198.95,105.5,198.05,106.4
"53","2013","20024",31,215,71.3,214.3,71.3
"54","2013","20036",72,200.25,70.05,200.45,70.1
"55","2013","20037",28,204.2,78.35,204.25,78.45
"56","2013","20052",10,175.3,72,175,72.45
"57","2013","20059",3,142.5,45.4,142.5,45.4
"58","2013","20577",2,173.45,55.7,173.45,55.7
"59","2014","20001",95,168,62,168,62.5
"60","2014","20002",72,175.5,71,176.5,70.1
"61","2014","20003",28,151.1,73.65,152.6,72.75
"62","2014","20004",44,205.5,66.5,202.5,68.15
"63","2014","20005",133,185.5,66,185,65.3
"64","2014","20006",75,187,65,191,66.15
"65","2014","20007",49,172,77,172,76.7
"66","2014","20008",73,108.5,60,109,57.65
"67","2014","20009",84,115,59,115.5,58.9
"68","2014","20010",36,122.6,67.25,123.5,62.8
"69","2014","20011",39,122,69,121,68.2
"70","2014","20012",14,120.5,69,122,67.85
"71","2014","20015",14,141,71.5,144.5,67.6
"72","2014","20016",45,126.5,65,127,63
"73","2014","20017",16,131,69.5,134.5,68.8
"74","2014","20018",33,99,50,100,45.2
"75","2014","20019",36,134,74.15,135.9,73.15
"76","2014","20020",33,137.8,72.6,139.3,71.7
"77","2014","20024",49,177,79,187,77.5
"78","2014","20032",17,128.5,54,129,53.5
"79","2014","20036",119,186,71,187,70.25
"80","2014","20037",62,179,71,178,70.4
"81","2014","20052",17,166,78,169,81.95
"82","2015","20001",124,182.2,68.15,181.75,69.05
"83","2015","20002",96,173.3,NA,176.3,69.4
"84","2015","20003",46,166.25,65.35,163.05,66.05
"85","2015","20004",48,210.6,68.5,203,69
"86","2015","20005",145,182.7,NA,181.5,64.35
"87","2015","20006",87,183.85,NA,186.35,64.5
"88","2015","20007",56,166.7,75.1,169,75.65
"89","2015","20008",68,120.6,63.85,121.3,64.95
"90","2015","20009",94,122.75,NA,123.8,64.95
"91","2015","20010",36,131.4,74.85,133.4,75.2
"92","2015","20011",46,130.3,66.65,130.85,67.9
"93","2015","20012",17,122.8,NA,122.7,60.2
"94","2015","20015",19,146.8,69.2,148,70
"95","2015","20016",51,161.75,80.2,158.2,84.25
"96","2015","20017",28,133.6,71.95,137.1,71.5
"97","2015","20018",26,213.75,106.1,210.6,106.8
"98","2015","20019",47,157.4,NA,157.35,81.8
"99","2015","20020",37,160.2,79.4,159.2,80.4
"100","2015","20024",64,171.9,NA,173,75.3
"101","2015","20032",24,166.9,78.6,165.6,79.7
"102","2015","20036",128,185.2,70.05,186.65,69.95
"103","2015","20037",70,179.5,NA,180.6,75
"104","2015","20052",34,193.9,NA,193.9,88.2
"105","2015","20057",2,273.05,122,274.35,122.75
"106","2015","20059",13,123.3,63,120.7,61.7
"107","2015","20064",3,48.2,39.3,46.3,41.1
